codigo_original,codigo_normalizado,sigla,numero,pais,categoria
BEL 12,BEL12,BEL,12,Bélgica ,Seleção
BEL 13,BEL13,BEL,13,Bélgica ,Seleção
BEL 14,BEL14,BEL,14,Bélgica ,Seleção
BEL 15,BEL15,BEL,15,Bélgica ,Seleção
BEL 16,BEL16,BEL,16,Bélgica ,Seleção
BEL 17,BEL17,BEL,17,Bélgica ,Seleção
BEL 18,BEL18,BEL,18,Bélgica ,Seleção
BEL 19,BEL19,BEL,19,Bélgica ,Seleção
BEL 20,BEL20,BEL,20,Bélgica ,Seleção
EGY 01,EGY01,EGY,01,Egito ,Seleção
EGY 02,EGY02,EGY,02,Egito ,Seleção
EGY 03,EGY03,EGY,03,Egito ,Seleção
EGY 04,EGY04,EGY,04,Egito ,Seleção
EGY 05,EGY05,EGY,05,Egito ,Seleção
EGY 06,EGY06,EGY,06,Egito ,Seleção
EGY 07,EGY07,EGY,07,Egito ,Seleção
EGY 08,EGY08,EGY,08,Egito ,Seleção
EGY 09,EGY09,EGY,09,Egito ,Seleção
EGY 10,EGY10,EGY,10,Egito ,Seleção
EGY 11,EGY11,EGY,11,Egito ,Seleção
EGY 12,EGY12,EGY,12,Egito ,Seleção
EGY 13,EGY13,EGY,13,Egito ,Seleção
EGY 14,EGY14,EGY,14,Egito ,Seleção
EGY 15,EGY15,EGY,15,Egito ,Seleção
EGY 16,EGY16,EGY,16,Egito ,Seleção
EGY 17,EGY17,EGY,17,Egito ,Seleção
EGY 18,EGY18,EGY,18,Egito ,Seleção
EGY 19,EGY19,EGY,19,Egito ,Seleção
EGY 20,EGY20,EGY,20,Egito ,Seleção
IRN 01,IRN01,IRN,01,Irã ,Seleção
IRN 02,IRN02,IRN,02,Irã ,Seleção
IRN 03,IRN03,IRN,03,Irã ,Seleção
IRN 04,IRN04,IRN,04,Irã ,Seleção
IRN 05,IRN05,IRN,05,Irã ,Seleção
IRN 06,IRN06,IRN,06,Irã ,Seleção
IRN 07,IRN07,IRN,07,Irã ,Seleção
IRN 08,IRN08,IRN,08,Irã ,Seleção
IRN 09,IRN09,IRN,09,Irã ,Seleção
IRN 10,IRN10,IRN,10,Irã ,Seleção
IRN 11,IRN11,IRN,11,Irã ,Seleção
IRN 12,IRN12,IRN,12,Irã ,Seleção
IRN 13,IRN13,IRN,13,Irã ,Seleção
IRN 14,IRN14,IRN,14,Irã ,Seleção
IRN 15,IRN15,IRN,15,Irã ,Seleção
IRN 16,IRN16,IRN,16,Irã ,Seleção
IRN 17,IRN17,IRN,17,Irã ,Seleção
IRN 18,IRN18,IRN,18,Irã ,Seleção
IRN 19,IRN19,IRN,19,Irã ,Seleção
IRN 20,IRN20,IRN,20,Irã ,Seleção
NZL 01,NZL01,NZL,01,Nova Zelândia ,Seleção
NZL 02,NZL02,NZL,02,Nova Zelândia ,Seleção
NZL 03,NZL03,NZL,03,Nova Zelândia ,Seleção
NZL 04,NZL04,NZL,04,Nova Zelândia ,Seleção
NZL 05,NZL05,NZL,05,Nova Zelândia ,Seleção
NZL 06,NZL06,NZL,06,Nova Zelândia ,Seleção
NZL 07,NZL07,NZL,07,Nova Zelândia ,Seleção
NZL 08,NZL08,NZL,08,Nova Zelândia ,Seleção
NZL 09,NZL09,NZL,09,Nova Zelândia ,Seleção
NZL 10,NZL10,NZL,10,Nova Zelândia ,Seleção
NZL 11,NZL11,NZL,11,Nova Zelândia ,Seleção
NZL 12,NZL12,NZL,12,Nova Zelândia ,Seleção
NZL 13,NZL13,NZL,13,Nova Zelândia ,Seleção
NZL 14,NZL14,NZL,14,Nova Zelândia ,Seleção
NZL 15,NZL15,NZL,15,Nova Zelândia ,Seleção
NZL 16,NZL16,NZL,16,Nova Zelândia ,Seleção
NZL 17,NZL17,NZL,17,Nova Zelândia ,Seleção
NZL 18,NZL18,NZL,18,Nova Zelândia ,Seleção
NZL 19,NZL19,NZL,19,Nova Zelândia ,Seleção
NZL 20,NZL20,NZL,20,Nova Zelândia ,Seleção
ESP 01,ESP01,ESP,01,Espanha ,Seleção
ESP 02,ESP02,ESP,02,Espanha ,Seleção
ESP 03,ESP03,ESP,03,Espanha ,Seleção
ESP 04,ESP04,ESP,04,Espanha ,Seleção
ESP 05,ESP05,ESP,05,Espanha ,Seleção
ESP 06,ESP06,ESP,06,Espanha ,Seleção
ESP 07,ESP07,ESP,07,Espanha ,Seleção
ESP 08,ESP08,ESP,08,Espanha ,Seleção
ESP 09,ESP09,ESP,09,Espanha ,Seleção
ESP 10,ESP10,ESP,10,Espanha ,Seleção
ESP 11,ESP11,ESP,11,Espanha ,Seleção
ESP 12,ESP12,ESP,12,Espanha ,Seleção
ESP 13,ESP13,ESP,13,Espanha ,Seleção
ESP 14,ESP14,ESP,14,Espanha ,Seleção
ESP 15,ESP15,ESP,15,Espanha ,Seleção
ESP 16,ESP16,ESP,16,Espanha ,Seleção
ESP 17,ESP17,ESP,17,Espanha ,Seleção
ESP 18,ESP18,ESP,18,Espanha ,Seleção
ESP 19,ESP19,ESP,19,Espanha ,Seleção
ESP 20,ESP20,ESP,20,Espanha ,Seleção
CPV 01,CPV01,CPV,01,Cabo Verde ,Seleção
CPV 02,CPV02,CPV,02,Cabo Verde ,Seleção
CPV 03,CPV03,CPV,03,Cabo Verde ,Seleção
CPV 04,CPV04,CPV,04,Cabo Verde ,Seleção
CPV 05,CPV05,CPV,05,Cabo Verde ,Seleção
CPV 06,CPV06,CPV,06,Cabo Verde ,Seleção
CPV 07,CPV07,CPV,07,Cabo Verde ,Seleção
CPV 08,CPV08,CPV,08,Cabo Verde ,Seleção
CPV 09,CPV09,CPV,09,Cabo Verde ,Seleção
CPV 10,CPV10,CPV,10,Cabo Verde ,Seleção
CPV 11,CPV11,CPV,11,Cabo Verde ,Seleção
CPV 12,CPV12,CPV,12,Cabo Verde ,Seleção
CPV 13,CPV13,CPV,13,Cabo Verde ,Seleção
CPV 14,CPV14,CPV,14,Cabo Verde ,Seleção
CPV 15,CPV15,CPV,15,Cabo Verde ,Seleção
CPV 16,CPV16,CPV,16,Cabo Verde ,Seleção
CPV 17,CPV17,CPV,17,Cabo Verde ,Seleção
CPV 18,CPV18,CPV,18,Cabo Verde ,Seleção
CPV 19,CPV19,CPV,19,Cabo Verde ,Seleção
CPV 20,CPV20,CPV,20,Cabo Verde ,Seleção
KSA 01,KSA01,KSA,01,Arábia Saudita ,Seleção
KSA 02,KSA02,KSA,02,Arábia Saudita ,Seleção
KSA 03,KSA03,KSA,03,Arábia Saudita ,Seleção
KSA 04,KSA04,KSA,04,Arábia Saudita ,Seleção
KSA 05,KSA05,KSA,05,Arábia Saudita ,Seleção
KSA 06,KSA06,KSA,06,Arábia Saudita ,Seleção
KSA 07,KSA07,KSA,07,Arábia Saudita ,Seleção
KSA 08,KSA08,KSA,08,Arábia Saudita ,Seleção
KSA 09,KSA09,KSA,09,Arábia Saudita ,Seleção
KSA 10,KSA10,KSA,10,Arábia Saudita ,Seleção
KSA 11,KSA11,KSA,11,Arábia Saudita ,Seleção
KSA 12,KSA12,KSA,12,Arábia Saudita ,Seleção
KSA 13,KSA13,KSA,13,Arábia Saudita ,Seleção
KSA 14,KSA14,KSA,14,Arábia Saudita ,Seleção
KSA 15,KSA15,KSA,15,Arábia Saudita ,Seleção
KSA 16,KSA16,KSA,16,Arábia Saudita ,Seleção
KSA 17,KSA17,KSA,17,Arábia Saudita ,Seleção
KSA 18,KSA18,KSA,18,Arábia Saudita ,Seleção
KSA 19,KSA19,KSA,19,Arábia Saudita ,Seleção
KSA 20,KSA20,KSA,20,Arábia Saudita ,Seleção
URU 01,URU01,URU,01,Uruguai ,Seleção
URU 02,URU02,URU,02,Uruguai ,Seleção
URU 03,URU03,URU,03,Uruguai ,Seleção
URU 04,URU04,URU,04,Uruguai ,Seleção
URU 05,URU05,URU,05,Uruguai ,Seleção
URU 06,URU06,URU,06,Uruguai ,Seleção
URU 07,URU07,URU,07,Uruguai ,Seleção
URU 08,URU08,URU,08,Uruguai ,Seleção
URU 09,URU09,URU,09,Uruguai ,Seleção
URU 10,URU10,URU,10,Uruguai ,Seleção
URU 11,URU11,URU,11,Uruguai ,Seleção
URU 12,URU12,URU,12,Uruguai ,Seleção
URU 13,URU13,URU,13,Uruguai ,Seleção
URU 14,URU14,URU,14,Uruguai ,Seleção
URU 15,URU15,URU,15,Uruguai ,Seleção
URU 16,URU16,URU,16,Uruguai ,Seleção
URU 17,URU17,URU,17,Uruguai ,Seleção
URU 18,URU18,URU,18,Uruguai ,Seleção
URU 19,URU19,URU,19,Uruguai ,Seleção
URU 20,URU20,URU,20,Uruguai ,Seleção
FRA 01,FRA01,FRA,01,França ,Seleção
FRA 02,FRA02,FRA,02,França ,Seleção
FRA 03,FRA03,FRA,03,França ,Seleção
FRA 04,FRA04,FRA,04,França ,Seleção
FRA 05,FRA05,FRA,05,França ,Seleção
FRA 06,FRA06,FRA,06,França ,Seleção
FRA 07,FRA07,FRA,07,França ,Seleção
FRA 08,FRA08,FRA,08,França ,Seleção
FRA 09,FRA09,FRA,09,França ,Seleção
FRA 10,FRA10,FRA,10,França ,Seleção
FRA 11,FRA11,FRA,11,França ,Seleção
FRA 12,FRA12,FRA,12,França ,Seleção
FRA 13,FRA13,FRA,13,França ,Seleção
FRA 14,FRA14,FRA,14,França ,Seleção
FRA 15,FRA15,FRA,15,França ,Seleção
FRA 16,FRA16,FRA,16,França ,Seleção
FRA 17,FRA17,FRA,17,França ,Seleção
FRA 18,FRA18,FRA,18,França ,Seleção
FRA 19,FRA19,FRA,19,França ,Seleção
FRA 20,FRA20,FRA,20,França ,Seleção
SEN 01,SEN01,SEN,01,Senegal ,Seleção
SEN 02,SEN02,SEN,02,Senegal ,Seleção
SEN 03,SEN03,SEN,03,Senegal ,Seleção
SEN 04,SEN04,SEN,04,Senegal ,Seleção
SEN 05,SEN05,SEN,05,Senegal ,Seleção
SEN 06,SEN06,SEN,06,Senegal ,Seleção
SEN 07,SEN07,SEN,07,Senegal ,Seleção
SEN 08,SEN08,SEN,08,Senegal ,Seleção
SEN 09,SEN09,SEN,09,Senegal ,Seleção
SEN 10,SEN10,SEN,10,Senegal ,Seleção
SEN 11,SEN11,SEN,11,Senegal ,Seleção
SEN 12,SEN12,SEN,12,Senegal ,Seleção
SEN 13,SEN13,SEN,13,Senegal ,Seleção
SEN 14,SEN14,SEN,14,Senegal ,Seleção
SEN 15,SEN15,SEN,15,Senegal ,Seleção
SEN 16,SEN16,SEN,16,Senegal ,Seleção
SEN 17,SEN17,SEN,17,Senegal ,Seleção
SEN 18,SEN18,SEN,18,Senegal ,Seleção
SEN 19,SEN19,SEN,19,Senegal ,Seleção
SEN 20,SEN20,SEN,20,Senegal ,Seleção
IRQ 01,IRQ01,IRQ,01,Iraque ,Seleção
IRQ 02,IRQ02,IRQ,02,Iraque ,Seleção
IRQ 03,IRQ03,IRQ,03,Iraque ,Seleção
IRQ 04,IRQ04,IRQ,04,Iraque ,Seleção
IRQ 05,IRQ05,IRQ,05,Iraque ,Seleção
IRQ 06,IRQ06,IRQ,06,Iraque ,Seleção
IRQ 07,IRQ07,IRQ,07,Iraque ,Seleção
IRQ 08,IRQ08,IRQ,08,Iraque ,Seleção
IRQ 09,IRQ09,IRQ,09,Iraque ,Seleção
IRQ 10,IRQ10,IRQ,10,Iraque ,Seleção
IRQ 11,IRQ11,IRQ,11,Iraque ,Seleção
IRQ 12,IRQ12,IRQ,12,Iraque ,Seleção
IRQ 13,IRQ13,IRQ,13,Iraque ,Seleção
IRQ 14,IRQ14,IRQ,14,Iraque ,Seleção
IRQ 15,IRQ15,IRQ,15,Iraque ,Seleção
IRQ 16,IRQ16,IRQ,16,Iraque ,Seleção
IRQ 17,IRQ17,IRQ,17,Iraque ,Seleção
IRQ 18,IRQ18,IRQ,18,Iraque ,Seleção
IRQ 19,IRQ19,IRQ,19,Iraque ,Seleção
IRQ 20,IRQ20,IRQ,20,Iraque ,Seleção
NOR 01,NOR01,NOR,01,Noruega ,Seleção
NOR 02,NOR02,NOR,02,Noruega ,Seleção
NOR 03,NOR03,NOR,03,Noruega ,Seleção
NOR 04,NOR04,NOR,04,Noruega ,Seleção
NOR 05,NOR05,NOR,05,Noruega ,Seleção
NOR 06,NOR06,NOR,06,Noruega ,Seleção
NOR 07,NOR07,NOR,07,Noruega ,Seleção
NOR 08,NOR08,NOR,08,Noruega ,Seleção
NOR 09,NOR09,NOR,09,Noruega ,Seleção
NOR 10,NOR10,NOR,10,Noruega ,Seleção
NOR 11,NOR11,NOR,11,Noruega ,Seleção
NOR 12,NOR12,NOR,12,Noruega ,Seleção
NOR 13,NOR13,NOR,13,Noruega ,Seleção
NOR 14,NOR14,NOR,14,Noruega ,Seleção
NOR 15,NOR15,NOR,15,Noruega ,Seleção
NOR 16,NOR16,NOR,16,Noruega ,Seleção
NOR 17,NOR17,NOR,17,Noruega ,Seleção
NOR 18,NOR18,NOR,18,Noruega ,Seleção
NOR 19,NOR19,NOR,19,Noruega ,Seleção
NOR 20,NOR20,NOR,20,Noruega ,Seleção
ARG 01,ARG01,ARG,01,Argentina ,Seleção
ARG 02,ARG02,ARG,02,Argentina ,Seleção
ARG 03,ARG03,ARG,03,Argentina ,Seleção
ARG 04,ARG04,ARG,04,Argentina ,Seleção
ARG 05,ARG05,ARG,05,Argentina ,Seleção
ARG 06,ARG06,ARG,06,Argentina ,Seleção
ARG 07,ARG07,ARG,07,Argentina ,Seleção
ARG 08,ARG08,ARG,08,Argentina ,Seleção
ARG 09,ARG09,ARG,09,Argentina ,Seleção
ARG 10,ARG10,ARG,10,Argentina ,Seleção
ARG 11,ARG11,ARG,11,Argentina ,Seleção
ARG 12,ARG12,ARG,12,Argentina ,Seleção
ARG 13,ARG13,ARG,13,Argentina ,Seleção
ARG 14,ARG14,ARG,14,Argentina ,Seleção
ARG 15,ARG15,ARG,15,Argentina ,Seleção
ARG 16,ARG16,ARG,16,Argentina ,Seleção
ARG 17,ARG17,ARG,17,Argentina ,Seleção
ARG 18,ARG18,ARG,18,Argentina ,Seleção
ARG 19,ARG19,ARG,19,Argentina ,Seleção
ARG 20,ARG20,ARG,20,Argentina ,Seleção
ALG 01,ALG01,ALG,01,Argélia ,Seleção
ALG 02,ALG02,ALG,02,Argélia ,Seleção
ALG 03,ALG03,ALG,03,Argélia ,Seleção
ALG 04,ALG04,ALG,04,Argélia ,Seleção
ALG 05,ALG05,ALG,05,Argélia ,Seleção
ALG 06,ALG06,ALG,06,Argélia ,Seleção
ALG 07,ALG07,ALG,07,Argélia ,Seleção
ALG 08,ALG08,ALG,08,Argélia ,Seleção
ALG 09,ALG09,ALG,09,Argélia ,Seleção
ALG 10,ALG10,ALG,10,Argélia ,Seleção
ALG 11,ALG11,ALG,11,Argélia ,Seleção
ALG 12,ALG12,ALG,12,Argélia ,Seleção
ALG 13,ALG13,ALG,13,Argélia ,Seleção
ALG 14,ALG14,ALG,14,Argélia ,Seleção
ALG 15,ALG15,ALG,15,Argélia ,Seleção
ALG 16,ALG16,ALG,16,Argélia ,Seleção
ALG 17,ALG17,ALG,17,Argélia ,Seleção
ALG 18,ALG18,ALG,18,Argélia ,Seleção
ALG 19,ALG19,ALG,19,Argélia ,Seleção
ALG 20,ALG20,ALG,20,Argélia ,Seleção
AUT 01,AUT01,AUT,01,Áustria ,Seleção
AUT 02,AUT02,AUT,02,Áustria ,Seleção
AUT 03,AUT03,AUT,03,Áustria ,Seleção
AUT 04,AUT04,AUT,04,Áustria ,Seleção
AUT 05,AUT05,AUT,05,Áustria ,Seleção
AUT 06,AUT06,AUT,06,Áustria ,Seleção
AUT 07,AUT07,AUT,07,Áustria ,Seleção
AUT 08,AUT08,AUT,08,Áustria ,Seleção
AUT 09,AUT09,AUT,09,Áustria ,Seleção
AUT 10,AUT10,AUT,10,Áustria ,Seleção
AUT 11,AUT11,AUT,11,Áustria ,Seleção
AUT 12,AUT12,AUT,12,Áustria ,Seleção
AUT 13,AUT13,AUT,13,Áustria ,Seleção
AUT 14,AUT14,AUT,14,Áustria ,Seleção
AUT 15,AUT15,AUT,15,Áustria ,Seleção
AUT 16,AUT16,AUT,16,Áustria ,Seleção
AUT 17,AUT17,AUT,17,Áustria ,Seleção
AUT 18,AUT18,AUT,18,Áustria ,Seleção
AUT 19,AUT19,AUT,19,Áustria ,Seleção
AUT 20,AUT20,AUT,20,Áustria ,Seleção
JOR 01,JOR01,JOR,01,Jordânia ,Seleção
JOR 02,JOR02,JOR,02,Jordânia ,Seleção
JOR 03,JOR03,JOR,03,Jordânia ,Seleção
JOR 04,JOR04,JOR,04,Jordânia ,Seleção
JOR 05,JOR05,JOR,05,Jordânia ,Seleção
JOR 06,JOR06,JOR,06,Jordânia ,Seleção
JOR 07,JOR07,JOR,07,Jordânia ,Seleção
JOR 08,JOR08,JOR,08,Jordânia ,Seleção
JOR 09,JOR09,JOR,09,Jordânia ,Seleção
JOR 10,JOR10,JOR,10,Jordânia ,Seleção
JOR 11,JOR11,JOR,11,Jordânia ,Seleção
JOR 12,JOR12,JOR,12,Jordânia ,Seleção
JOR 13,JOR13,JOR,13,Jordânia ,Seleção
JOR 14,JOR14,JOR,14,Jordânia ,Seleção
JOR 15,JOR15,JOR,15,Jordânia ,Seleção
JOR 16,JOR16,JOR,16,Jordânia ,Seleção
JOR 17,JOR17,JOR,17,Jordânia ,Seleção
JOR 18,JOR18,JOR,18,Jordânia ,Seleção
JOR 19,JOR19,JOR,19,Jordânia ,Seleção
JOR 20,JOR20,JOR,20,Jordânia ,Seleção
POR 01,POR01,POR,01,Portugal ,Seleção
POR 02,POR02,POR,02,Portugal ,Seleção
POR 03,POR03,POR,03,Portugal ,Seleção
POR 04,POR04,POR,04,Portugal ,Seleção
POR 05,POR05,POR,05,Portugal ,Seleção
POR 06,POR06,POR,06,Portugal ,Seleção
POR 07,POR07,POR,07,Portugal ,Seleção
POR 08,POR08,POR,08,Portugal ,Seleção
POR 09,POR09,POR,09,Portugal ,Seleção
POR 10,POR10,POR,10,Portugal ,Seleção
POR 11,POR11,POR,11,Portugal ,Seleção
POR 12,POR12,POR,12,Portugal ,Seleção
POR 13,POR13,POR,13,Portugal ,Seleção
POR 14,POR14,POR,14,Portugal ,Seleção
POR 15,POR15,POR,15,Portugal ,Seleção
POR 16,POR16,POR,16,Portugal ,Seleção
POR 17,POR17,POR,17,Portugal ,Seleção
POR 18,POR18,POR,18,Portugal ,Seleção
POR 19,POR19,POR,19,Portugal ,Seleção
POR 20,POR20,POR,20,Portugal ,Seleção
COD 01,COD01,COD,01,Congo ,Seleção
COD 02,COD02,COD,02,Congo ,Seleção
COD 03,COD03,COD,03,Congo ,Seleção
COD 04,COD04,COD,04,Congo ,Seleção
COD 05,COD05,COD,05,Congo ,Seleção
COD 06,COD06,COD,06,Congo ,Seleção
COD 07,COD07,COD,07,Congo ,Seleção
COD 08,COD08,COD,08,Congo ,Seleção
COD 09,COD09,COD,09,Congo ,Seleção
COD 10,COD10,COD,10,Congo ,Seleção
COD 11,COD11,COD,11,Congo ,Seleção
COD 12,COD12,COD,12,Congo ,Seleção
COD 13,COD13,COD,13,Congo ,Seleção
COD 14,COD14,COD,14,Congo ,Seleção
COD 15,COD15,COD,15,Congo ,Seleção
COD 16,COD16,COD,16,Congo ,Seleção
COD 17,COD17,COD,17,Congo ,Seleção
COD 18,COD18,COD,18,Congo ,Seleção
COD 19,COD19,COD,19,Congo ,Seleção
COD 20,COD20,COD,20,Congo ,Seleção
UZB 01,UZB01,UZB,01,Uzbequistão ,Seleção
UZB 02,UZB02,UZB,02,Uzbequistão ,Seleção
UZB 03,UZB03,UZB,03,Uzbequistão ,Seleção
UZB 04,UZB04,UZB,04,Uzbequistão ,Seleção
UZB 05,UZB05,UZB,05,Uzbequistão ,Seleção
UZB 06,UZB06,UZB,06,Uzbequistão ,Seleção
UZB 07,UZB07,UZB,07,Uzbequistão ,Seleção
UZB 08,UZB08,UZB,08,Uzbequistão ,Seleção
UZB 09,UZB09,UZB,09,Uzbequistão ,Seleção
UZB 10,UZB10,UZB,10,Uzbequistão ,Seleção
UZB 11,UZB11,UZB,11,Uzbequistão ,Seleção
UZB 12,UZB12,UZB,12,Uzbequistão ,Seleção
UZB 13,UZB13,UZB,13,Uzbequistão ,Seleção
UZB 14,UZB14,UZB,14,Uzbequistão ,Seleção
UZB 15,UZB15,UZB,15,Uzbequistão ,Seleção
UZB 16,UZB16,UZB,16,Uzbequistão ,Seleção
UZB 17,UZB17,UZB,17,Uzbequistão ,Seleção
UZB 18,UZB18,UZB,18,Uzbequistão ,Seleção
UZB 19,UZB19,UZB,19,Uzbequistão ,Seleção
UZB 20,UZB20,UZB,20,Uzbequistão ,Seleção
COL 01,COL01,COL,01,Colômbia ,Seleção
COL 02,COL02,COL,02,Colômbia ,Seleção
COL 03,COL03,COL,03,Colômbia ,Seleção
COL 04,COL04,COL,04,Colômbia ,Seleção
COL 05,COL05,COL,05,Colômbia ,Seleção
COL 06,COL06,COL,06,Colômbia ,Seleção
COL 07,COL07,COL,07,Colômbia ,Seleção
COL 08,COL08,COL,08,Colômbia ,Seleção
COL 09,COL09,COL,09,Colômbia ,Seleção
COL 10,COL10,COL,10,Colômbia ,Seleção
COL 11,COL11,COL,11,Colômbia ,Seleção
COL 12,COL12,COL,12,Colômbia ,Seleção
COL 13,COL13,COL,13,Colômbia ,Seleção
COL 14,COL14,COL,14,Colômbia ,Seleção
COL 15,COL15,COL,15,Colômbia ,Seleção
COL 16,COL16,COL,16,Colômbia ,Seleção
COL 17,COL17,COL,17,Colômbia ,Seleção
COL 18,COL18,COL,18,Colômbia ,Seleção
COL 19,COL19,COL,19,Colômbia ,Seleção
COL 20,COL20,COL,20,Colômbia ,Seleção
ENG 01,ENG01,ENG,01,Inglaterra ,Seleção
ENG 02,ENG02,ENG,02,Inglaterra ,Seleção
ENG 03,ENG03,ENG,03,Inglaterra ,Seleção
ENG 04,ENG04,ENG,04,Inglaterra ,Seleção
ENG 05,ENG05,ENG,05,Inglaterra ,Seleção
ENG 06,ENG06,ENG,06,Inglaterra ,Seleção
ENG 07,ENG07,ENG,07,Inglaterra ,Seleção
ENG 08,ENG08,ENG,08,Inglaterra ,Seleção
ENG 09,ENG09,ENG,09,Inglaterra ,Seleção
ENG 10,ENG10,ENG,10,Inglaterra ,Seleção
ENG 11,ENG11,ENG,11,Inglaterra ,Seleção
ENG 12,ENG12,ENG,12,Inglaterra ,Seleção
ENG 13,ENG13,ENG,13,Inglaterra ,Seleção
ENG 14,ENG14,ENG,14,Inglaterra ,Seleção
ENG 15,ENG15,ENG,15,Inglaterra ,Seleção
ENG 16,ENG16,ENG,16,Inglaterra ,Seleção
ENG 17,ENG17,ENG,17,Inglaterra ,Seleção
ENG 18,ENG18,ENG,18,Inglaterra ,Seleção
ENG 19,ENG19,ENG,19,Inglaterra ,Seleção
ENG 20,ENG20,ENG,20,Inglaterra ,Seleção
CRO 01,CRO01,CRO,01,Croácia ,Seleção
CRO 02,CRO02,CRO,02,Croácia ,Seleção
CRO 03,CRO03,CRO,03,Croácia ,Seleção
CRO 04,CRO04,CRO,04,Croácia ,Seleção
CRO 05,CRO05,CRO,05,Croácia ,Seleção
CRO 06,CRO06,CRO,06,Croácia ,Seleção
CRO 07,CRO07,CRO,07,Croácia ,Seleção
CRO 08,CRO08,CRO,08,Croácia ,Seleção
CRO 09,CRO09,CRO,09,Croácia ,Seleção
CRO 10,CRO10,CRO,10,Croácia ,Seleção
CRO 11,CRO11,CRO,11,Croácia ,Seleção
CRO 12,CRO12,CRO,12,Croácia ,Seleção
CRO 13,CRO13,CRO,13,Croácia ,Seleção
CRO 14,CRO14,CRO,14,Croácia ,Seleção
CRO 15,CRO15,CRO,15,Croácia ,Seleção
CRO 16,CRO16,CRO,16,Croácia ,Seleção
CRO 17,CRO17,CRO,17,Croácia ,Seleção
CRO 18,CRO18,CRO,18,Croácia ,Seleção
CRO 19,CRO19,CRO,19,Croácia ,Seleção
CRO 20,CRO20,CRO,20,Croácia ,Seleção
GHA 01,GHA01,GHA,01,Gana ,Seleção
GHA 02,GHA02,GHA,02,Gana ,Seleção
GHA 03,GHA03,GHA,03,Gana ,Seleção
GHA 04,GHA04,GHA,04,Gana ,Seleção
GHA 05,GHA05,GHA,05,Gana ,Seleção
GHA 06,GHA06,GHA,06,Gana ,Seleção
GHA 07,GHA07,GHA,07,Gana ,Seleção
GHA 08,GHA08,GHA,08,Gana ,Seleção
GHA 09,GHA09,GHA,09,Gana ,Seleção
GHA 10,GHA10,GHA,10,Gana ,Seleção
GHA 11,GHA11,GHA,11,Gana ,Seleção
GHA 12,GHA12,GHA,12,Gana ,Seleção
GHA 13,GHA13,GHA,13,Gana ,Seleção
GHA 14,GHA14,GHA,14,Gana ,Seleção
GHA 15,GHA15,GHA,15,Gana ,Seleção
GHA 16,GHA16,GHA,16,Gana ,Seleção
GHA 17,GHA17,GHA,17,Gana ,Seleção
GHA 18,GHA18,GHA,18,Gana ,Seleção
GHA 19,GHA19,GHA,19,Gana ,Seleção
GHA 20,GHA20,GHA,20,Gana ,Seleção
PAN 01,PAN01,PAN,01,Panamá ,Seleção
PAN 02,PAN02,PAN,02,Panamá ,Seleção
PAN 03,PAN03,PAN,03,Panamá ,Seleção
PAN 04,PAN04,PAN,04,Panamá ,Seleção
PAN 05,PAN05,PAN,05,Panamá ,Seleção
PAN 06,PAN06,PAN,06,Panamá ,Seleção
PAN 07,PAN07,PAN,07,Panamá ,Seleção
PAN 08,PAN08,PAN,08,Panamá ,Seleção
PAN 09,PAN09,PAN,09,Panamá ,Seleção
PAN 10,PAN10,PAN,10,Panamá ,Seleção
PAN 11,PAN11,PAN,11,Panamá ,Seleção
PAN 12,PAN12,PAN,12,Panamá ,Seleção
PAN 13,PAN13,PAN,13,Panamá ,Seleção
PAN 14,PAN14,PAN,14,Panamá ,Seleção
PAN 15,PAN15,PAN,15,Panamá ,Seleção
PAN 16,PAN16,PAN,16,Panamá ,Seleção
PAN 17,PAN17,PAN,17,Panamá ,Seleção
PAN 18,PAN18,PAN,18,Panamá ,Seleção
PAN 19,PAN19,PAN,19,Panamá ,Seleção
PAN 20,PAN20,PAN,20,Panamá ,Seleção
CC 01,CC01,CC,01,,Coca-Cola
CC 02,CC02,CC,02,,Coca-Cola
CC 03,CC03,CC,03,,Coca-Cola
CC 04,CC04,CC,04,,Coca-Cola
CC 05,CC05,CC,05,,Coca-Cola
CC 06,CC06,CC,06,,Coca-Cola
CC 07,CC07,CC,07,,Coca-Cola
CC 08,CC08,CC,08,,Coca-Cola
CC 09,CC09,CC,09,,Coca-Cola
CC 10,CC10,CC,10,,Coca-Cola
CC 11,CC11,CC,11,,Coca-Cola
CC 12,CC12,CC,12,,Coca-Cola
CC 13,CC13,CC,13,,Coca-Cola
CC 14,CC14,CC,14,,Coca-Cola
